FID,Object_ID,POINT_X,POINT_Y,Easting,Northing,Date_,DDLat,DDLon,ORIG_OID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
19,JRC1DS,-78.343100000000007,38.712119999999999,730997,4287961,5-Jun-12,38.71211230N,078.34309731W,19,115588,0.000086926954225,-78.343184174900003,38.712108973399999
20,JRC1EL,-78.343199999999996,38.710500000000003,730988,4287781,5-Jun-12,38.71049230N,078.34319731W,20,115588,0.000037930539328,-78.343168819699997,38.710517340499997
21,JRC1EU,-78.340999999999994,38.708860000000001,731187,4287604,5-Jun-12,38.70885230N,078.34099731W,21,115588,0.002151056155400,-78.342764530300002,38.710078672300000
22,MPC1DS,-78.437600000000003,38.503169999999997,723425,4264536,18-Jul-12,38.50316235N,078.43759730W,22,120745,0.000182382719701,-78.437433997699998,38.503243570700000
23,MRC1ML,-78.791899999999998,38.172300000000000,693408,4227015,24-Jul-12,38.17229243N,078.79189721W,23,129536,0.000104806604332,-78.791946593700004,38.172384869299997
24,MRC2NL,-78.786600000000007,38.149729999999998,693925,4224521,14-Jun-12,38.14972243N,078.78659721W,24,129862,0.000096588061934,-78.786588291399994,38.149818607699999
25,MRC2SL,-78.787000000000006,38.149850000000001,693898,4224534,14-Jun-12,38.14984243N,078.78699721W,25,129862,0.000034696921297,-78.786992001200005,38.149876736000003
26,MRC2SU,-78.787000000000006,38.149850000000001,693898,4224534,14-Jun-12,38.14984243N,078.78699721W,26,129862,0.000034696921297,-78.786992001200005,38.149876736000003
27,MRC3ML,-78.782600000000002,38.146850000000001,694290,4224210,27-Jun-12,38.14684243N,078.78259721W,27,129920,0.002533898384410,-78.785062651399997,38.147427452300001
28,NCC1U1,-78.459000000000003,38.493180000000002,721587,4263375,7-Jun-12,38.49317235N,078.45899729W,28,120938,0.000087513611825,-78.458931400899999,38.493229946200003
29,NCC1U2,-78.459000000000003,38.493180000000002,721587,4263375,7-Jun-12,38.49317235N,078.45899729W,29,120938,0.000087513611825,-78.458931400899999,38.493229946200003
30,NCC1W1,-78.459299999999999,38.493560000000002,721562,4263417,7-Jun-12,38.49355235N,078.45929729W,30,120938,0.000063289818675,-78.459249638800003,38.493594003600002
31,NCC1W2,-78.459400000000002,38.493780000000001,721549,4263441,7-Jun-12,38.49377235N,078.45939729W,31,121008,0.000152454515530,-78.459326974400000,38.493637079300001
32,NCDSG,-78.450999999999993,38.492489999999997,722290,4263318,26-Jul-12,38.49248235N,078.45099729W,32,120938,0.002994132363610,-78.453708989700004,38.491212891300002
33,NFMTL1,-78.753000000000000,38.170569999999998,696819,4226905,2-Jul-12,38.17056243N,078.75299722W,33,129331,0.000198770274665,-78.753024392300006,38.170365522600001
34,NFMTL2,-78.755399999999995,38.170839999999998,696604,4226930,2-Jul-12,38.17083243N,078.75539722W,34,129331,0.000130906919365,-78.755415674199995,38.170702827400000
35,PARC1NL,-78.336799999999997,38.656129999999997,731724,4281762,12-Jun-12,38.65612231N,078.33679732W,35,116935,0.000132606274688,-78.336688065000004,38.656047156800000
36,PARC1NL,-78.336799999999997,38.656129999999997,731724,4281762,16-Jul-12,38.65612231N,078.33679732W,36,116935,0.000132606274688,-78.336688065000004,38.656047156800000
37,PARC1SL,-78.336799999999997,38.656089999999999,731728,4281758,12-Jun-12,38.65608231N,078.33679732W,37,116935,0.000109239936242,-78.336712667200004,38.656013263699997
38,PARC1SL,-78.336799999999997,38.656089999999999,731728,4281758,16-Jul-12,38.65608231N,078.33679732W,38,116935,0.000109239936242,-78.336712667200004,38.656013263699997
39,PARU1,-78.332800000000006,38.657020000000003,732073,4281871,12-Jun-12,38.65701231N,078.33279732W,39,116935,0.001097437332370,-78.332665227700005,38.658101771200002
40,PARU2,-78.332200000000000,38.656979999999997,732120,4281869,12-Jun-12,38.65697231N,078.33219732W,40,116935,0.001122381624880,-78.332304640199993,38.658089551099998
41,Piney River Headwater 1,-78.272900000000007,38.757869999999997,736950,4293219,1-Jun-12,38.75786229N,078.27289733W,41,114452,0.008108920653040,-78.279549246700000,38.753224768300001
42,PR_xxxx,-78.272900000000007,38.757869999999997,736950,4293219,21-Jun-12,38.75786229N,078.27289733W,42,114452,0.008108920653040,-78.279549246700000,38.753224768300001
43,PR150,-78.272900000000007,38.757869999999997,736950,4293219,25-Jun-12,38.75786229N,078.27289733W,43,114452,0.008108920653040,-78.279549246700000,38.753224768300001
44,PRC1E,-78.280900000000003,38.745840000000001,736296,4291863,4-Jun-12,38.74583229N,078.28089733W,44,114453,0.000427031245716,-78.280891928499997,38.745405295300003
45,PRC1EL,-78.280900000000003,38.745840000000001,736296,4291863,12-Jul-12,38.74583229N,078.28089733W,45,114453,0.000427031245716,-78.280891928499997,38.745405295300003
46,PRC1W,-78.280900000000003,38.745840000000001,736296,4291863,4-Jun-12,38.74583229N,078.28089733W,46,114453,0.000427031245716,-78.280891928499997,38.745405295300003
47,PRC1WL,-78.280900000000003,38.745840000000001,736296,4291863,6-Jun-12,38.74583229N,078.28089733W,47,114453,0.000427031245716,-78.280891928499997,38.745405295300003
48,PRC1WL,-78.280900000000003,38.745840000000001,736296,4291863,12-Jul-12,38.74583229N,078.28089733W,48,114453,0.000427031245716,-78.280891928499997,38.745405295300003
49,PRC1WU,-78.281099999999995,38.746949999999998,736276,4291985,4-Jun-12,38.74694229N,078.28109733W,49,114452,0.000352676734234,-78.280756058799994,38.746853321300001
50,PRC2E,-78.280900000000003,38.720269999999999,736380,4289024,4-Jun-12,38.72026230N,078.28089733W,50,115430,0.000048659985674,-78.280945897199999,38.720259288699999
51,PRC3DS,-78.280900000000003,38.720269999999999,736380,4289024,26-Jun-12,38.72026230N,078.28089733W,51,115430,0.000048659985674,-78.280945897199999,38.720259288699999
52,PRC3TL,-78.280900000000003,38.720269999999999,736380,4289024,26-Jun-12,38.72026230N,078.28089733W,52,115430,0.000048659985674,-78.280945897199999,38.720259288699999
53,PRDS1K,-78.288499999999999,38.739750000000001,735657,4291167,13-Jul-12,38.73974229N,078.28849733W,53,115430,0.000359480573696,-78.288187118699994,38.739560642500003
54,RGH1U1,-78.989900000000006,37.885550000000002,676750,4194800,20-Jun-12,37.88554249N,078.98989716W,54,137571,0.010368734362200,-78.998326887000005,37.879505075099999
55,RMRTN,-78.702200000000005,38.261429999999997,701014,4237098,3-Jul-12,38.26142241N,078.70219723W,55,126867,0.000025916617178,-78.702179778800001,38.261403245200000
56,RMRTS,-78.702100000000002,38.261290000000002,701024,4237082,3-Jul-12,38.26128241N,078.70209723W,56,126867,0.000143877368795,-78.702200047600002,38.261383049899997
57,RRC1DS,-78.424099999999996,38.518500000000003,724552,4266270,6-Jun-12,38.51849234N,078.42409730W,57,120324,0.000163798681422,-78.423963797799999,38.518397435899999
58,RRC1DS,-78.424099999999996,38.518500000000003,724552,4266270,17-Jul-12,38.51849234N,078.42409730W,58,120324,0.000163798681422,-78.423963797799999,38.518397435899999
59,RRC1EL,-78.424599999999998,38.517290000000003,724513,4266134,6-Jun-12,38.51728234N,078.42459730W,59,120346,0.000621477183488,-78.424754770000007,38.517883540000000
60,RRC1EL,-78.424599999999998,38.517290000000003,724513,4266134,4-Jul-12,38.51728234N,078.42459730W,60,120346,0.000621477183488,-78.424754770000007,38.517883540000000
61,RRC1EU,-78.425700000000006,38.517560000000003,724420,4266162,6-Jun-12,38.51755234N,078.42569730W,61,120346,0.000033422600965,-78.425713002199998,38.517581847499997
62,RRC1EU,-78.425700000000006,38.517560000000003,724420,4266162,4-Jul-12,38.51755234N,078.42569730W,62,120346,0.000033422600965,-78.425713002199998,38.517581847499997
63,RRC1NM,-78.427099999999996,38.519759999999998,724286,4266402,17-Jul-12,38.51975234N,078.42709730W,63,120323,0.000032284160864,-78.427092821800002,38.519784315899997
64,RRC1WU,-78.429699999999997,38.519889999999997,724063,4266411,6-Jun-12,38.51988234N,078.42969730W,64,120323,0.000224882098629,-78.429636792500006,38.519665753799998
65,RRC4ML,-78.406999999999996,38.525979999999997,726020,4267142,9-Jul-12,38.52597234N,078.40699730W,65,120340,0.000052708723804,-78.407036807599994,38.525937446699999
66,RRC4TL,-78.406800000000004,38.525779999999997,726045,4267120,9-Jul-12,38.52577234N,078.40679730W,66,120340,0.000063143912643,-78.406841505100004,38.525727248499997
67,WRH1U1,-79.039000000000001,37.901829999999997,672394,4196515,19-Jun-12,37.90182249N,079.03899715W,67,137047,0.001885560574480,-79.037147736300000,37.901455049299997
68,WRH1U2,-79.042900000000003,37.900869999999998,672051,4196401,19-Jun-12,37.90086249N,079.04289715W,68,137047,0.005742146164730,-79.037167655299996,37.901243500900001
