Date,Stream,Transect,Visit,Section,Wetted,Depth,
2018-07-12,ALEX,3D,1,0,NA,NA,
2018-07-12,ALEX,3D,1,12.5,NA,NA,
2018-07-12,ALEX,3D,1,25,NA,NA,
2018-07-12,ALEX,4D,1,0,NA,NA,
2018-07-12,ALEX,4D,1,12.5,NA,NA,
2018-07-12,ALEX,4D,1,25,NA,NA,
2018-07-12,ALEX,5D,1,0,NA,NA,
2018-07-12,ALEX,5D,1,12.5,NA,NA,
2018-07-12,ALEX,5D,1,25,NA,NA,
2018-07-16,DUNGHILL,3D,1,0,NA,NA,
2018-07-16,DUNGHILL,3D,1,12.5,NA,NA,
2018-07-16,DUNGHILL,3D,1,25,NA,NA,
2018-07-16,DUNGHILL,4D,1,25,NA,NA,
2018-07-16,DUNGHILL,4D,1,0,NA,NA,
2018-07-16,DUNGHILL,4D,1,12.5,NA,NA,
2018-07-16,DUNGHILL,5D,1,0,NA,NA,
2018-07-16,DUNGHILL,5D,1,12.5,NA,NA,
2018-07-16,DUNGHILL,5D,1,25,NA,NA,
2018-07-18,DUNGHILL,1D,1,0,2.4,11.0,
2018-07-18,DUNGHILL,1D,1,12.5,2.3,11.0,
2018-07-18,DUNGHILL,1D,1,25,1.8,13.0,
2018-07-18,DUNGHILL,2D,1,0,3.6,15.0,
2018-07-18,DUNGHILL,2D,1,12.5,4.7,11.0,
2018-07-18,DUNGHILL,2D,1,25,1.9,20.0,
2018-07-18,DUNGHILL,3D,2,0,2.3,17.0,
2018-07-18,DUNGHILL,3D,2,12.5,3.7,17.0,
2018-07-18,DUNGHILL,3D,2,25,3.2,10.0,
2018-07-18,DUNGHILL,4D,2,0,2.9,14.0,
2018-07-18,DUNGHILL,4D,2,12.5,2.4,13.0,
2018-07-18,DUNGHILL,4D,2,25,NA,NA,
2018-07-18,DUNGHILL,5D,2,0,3.8,17.0,
2018-07-18,DUNGHILL,5D,2,12.5,3.7,19.0,
2018-07-18,DUNGHILL,5D,2,25,3.2,12.0,
